NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
8,0,0,1,3000000,0.423246,0.000000,1.118568,3.579418,4.237001
9,0,0,2,3000000,0.880799,0.000000,2.684564,4.474273,8.767767
10,0,0,2,3000000,0.942256,0.000000,2.982849,7.657313,8.526445
11,0,0,4,3000000,1.290455,0.745712,3.579418,8.285691,8.759492
13,0,0,4,3000000,1.211983,0.000000,3.579418,9.138940,12.476338
14,0,0,8,3000000,1.392579,0.745712,4.388229,8.451404,8.846858
15,0,0,8,3000000,1.367347,0.894855,4.067521,8.158968,8.610865
16,0,0,10,3000000,1.613093,0.894855,4.353347,8.338418,12.348993
17,0,0,10,3000000,1.214108,0.894855,3.579418,8.451404,8.699975
18,1,0,1,3000000,6.923405,8.948546,14.317673,15.212528,15.212528
20,1,0,1,3000000,7.032676,9.843400,14.317673,16.778523,16.778523
21,1,0,2,3000000,16.380165,13.422819,49.217002,59.955257,63.758389
22,1,0,2,3000000,14.684771,12.527964,41.163311,60.850112,64.429530
23,1,0,4,3000000,32.990049,34.899329,65.324385,77.181208,79.418345
24,1,0,4,3000000,33.157083,37.583893,65.393220,80.536913,80.536913
25,1,0,8,3000000,37.819452,45.637584,68.903803,81.655481,81.655481
26,1,0,8,3000000,39.704812,47.427293,68.903803,81.655481,81.655481
27,1,0,10,3000000,33.771300,31.319911,68.232662,86.502610,107.382550
28,1,0,10,3000000,37.758741,43.847875,68.903803,80.536913,81.655481
